id,dropped,vis,item,question: ,option:,correct
1,no,VLAT_a,a_1,What was the price of a barrel of oil in February 2015? ,$57.36; $47.82; $50.24; $39.72,$50.24 
2,no,VLAT_a,a_2,In which month was the price of a barrel of oil the lowest in 2015?,March; May; July; December,December
3,no,VLAT_a,a_3,What was the price range of a barrel of oil in 2015?,$35 - $65; $48.36 - $60.95; $37.04 - $48.36; $37.04 - $60.95,$37.04 - $60.95
4,no,VLAT_a,a_4,"Over the course of the second half of 2015, the price of a barrel of oil was ____________.",rising; falling; staying,falling
5,no,VLAT_a,a_5,About how much did the price of a barrel of oil fall from April to September in 2015?,$4; $15; $17; $45,$15 
6,no,VLAT_b,b_1,What is the average internet speed in Japan?,10 Mbps; 14 Mbps; 15 Mbps; 16 Mbps,15 Mbps
7,no,VLAT_b,b_2,In which country is the average internet speed the fastest in Asia?,China; Hong Kong; South Korea; Vietnam,South Korea
8,no,VLAT_b,b_3,What is the range of the average internet speed in Asia?,0 - 22 Mbps; 2 - 20.5 Mbps; 3 - 20 Mbps; 3.4 - 7.8 Mbps,2 - 20.5 Mbps
9,no,VLAT_b,b_4,How many countries in Asia is the average internet speed slower than Thailand?,5 countries; 6 countries; 7 countries; 8 countries,7 countries
10,no,VLAT_c,c_1,What is the cost of peanuts in Las Vegas?,$12; $16.7; $23.4; $35.4,$12 
11,no,VLAT_c,c_2,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,1 to 10; 2 to 10; 4 to 10; 6 to 10,4 to 10
12,no,VLAT_c,c_3,In which city is the cost of soda the highest?,New York City; Las Vegas; Atalanta; Washington D.C.,Washington D.C.
13,yes,VLAT_c,c_4,What is the cost range of a sandwich in the cities?,$0 - $24.2; $0 - $55.9; $13 - $24.2; $17 - $35.2,$13 - $24.2
14,no,VLAT_c,c_5,The cost of vodka in Atlanta is higher than that of Honolulu.,True; False,TRUE
15,no,VLAT_c,c_6,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C.,True; False,FALSE
16,no,VLAT_d,d_1,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study?,38%; 47%; 53%; 62%,38%
17,no,VLAT_d,d_2,What is the education level of people in which the Democrats have the lowest approval rating?,High School Graduate or Less; Some College Degree; College Graduate; Postgraduate study,College Graduate
18,no,VLAT_d,d_3,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,True; False,FALSE
19,no,VLAT_e,e_1,About what is the global smartphone market share of Samsung?,15%; 25%; 33%; 50%,25%
20,no,VLAT_e,e_2,In which company is the global smartphone market share the smallest?,Apple; Xiaomi; Lenovo; Others,Lenovo
21,no,VLAT_e,e_3,The global smartphone market share of Apple is larger than that of Huawei.,True; False,TRUE
22,no,VLAT_f,f_1,How many people have rated the taxi between 4.0 and 4.2?,145; 153; 200; 240,153
23,no,VLAT_f,f_2,What is the rating that the people have rated the taxi the most?,4.2-4.4; 4.4-4.6; 4.6-4.8; 4.8-5.0,4.4-4.6
24,yes,VLAT_f,f_3,The distribution of the taxi passenger rating is generally skewed to the left.,True; False,TRUE
25,no,VLAT_f,f_4,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4.,True; False,TRUE
26,yes,VLAT_f,f_5,How many people have rated the taxi 4.9?,200; 240; 345; Cannot be inferred,Cannot be inferred
27,no,VLAT_g,g_1,What is the weight for the person who is 165.1 cm tall?,53.9 kg; 67.7 kg; 70.5 kg; 82.7 kg,70.5 kg
28,no,VLAT_g,g_2,What is the height for the tallest person among the 85 males?,175.3 cm; 192 cm; 197.1 cm; 200 cm,197.1 cm
29,no,VLAT_g,g_3,What is the range in weight for the 85 males?,40 - 130 kg; 62.3 - 90.9 kg; 53.9 - 102.3 kg; 53.9 - 123.6 kg,53.9 - 123.6 kg
30,yes,VLAT_g,g_4,About the height for the 85 males is normally distributed.,True; False,TRUE
31,no,VLAT_g,g_5,What is the height for a person who lies outside the others the most?,167.4 cm; 175.3 cm; 193 cm; 197.1 cm,175.3 cm
32,no,VLAT_g,g_6,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,True; False,TRUE
33,no,VLAT_g,g_7,There is a negative linear relationship between the height and the weight of the 85 males.,True; False,FALSE
34,no,VLAT_g,g_8,The weights for males with the height of 188 cm are all the same.,True; False,FALSE
35,no,VLAT_i,i_1,What was the average price of a pound of coffee beans in September 2013?,$4.9; $5.0; $5.1; $5.2,$5.10 
36,no,VLAT_i,i_2,When was the average price of a pound of coffee beans at minimum?,April 2013; September 2013; June 2014; December 2014,14-Dec
37,no,VLAT_i,i_3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.4 - $6.2; $4.6 - $5.9; $4.6 - $6.0; $4.6 - $6.1,$4.6 - $6.0
